# ADR90 WP-A2 tau=0 band, build 87b9cf846aa6e75f96d620f24a15b24ba4503a52 (expected 87b9cf846aa6e75f96d620f24a15b24ba4503a52), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res
0.06132,0.03066,730.336859,-730.330351,0.32,0,85.2752397,3.1675407e-05,4543,0,0,0,0
0.06164,0.03082,733.974844,-733.968389,0.64,0,85.6207719,2.99892307e-05,4543,0,0,0,0
0.06196,0.03098,737.604503,-737.600881,0.32,0,86.3313143,2.97047978e-05,4687,0,0,0,0
0.06228,0.03114,741.241561,-741.239451,0.32,0,86.6630321,2.9614221e-05,4687,0,0,0,0
0.0626,0.0313,744.877153,-744.874003,0.32,0,86.9959223,2.88787079e-05,4687,0,0,0,0
0.06292,0.03146,748.508905,-748.507707,0.32,0,87.3407075,3.0653749e-05,4687,0,0,0,0
0.06324,0.03162,752.141901,-752.139074,0.32,0,87.678925,2.87780473e-05,4687,0,0,0,0
0.06356,0.03178,755.768519,-755.76911,0.64,0,88.0115061,3.05159021e-05,4687,0,0,0,0
0.06388,0.03194,759.38916,-759.394779,0.32,0,88.6935847,2.89890403e-05,4831,0,0,0,0
0.0642,0.0321,763.018829,-763.017856,0.32,0,89.023541,3.16321812e-05,4831,0,0,0,0
0.06452,0.03226,766.631672,-766.637784,0.32,0,89.3578432,3.10069411e-05,4831,0,0,0,0
0.06484,0.03242,770.262447,-770.261676,0.32,0,89.6957278,3.10899671e-05,4831,0,0,0,0
